Name,SMILES
p000106,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl
p000107,C1=C(C(=C(C(=C1Cl)Cl)C2=C(C(=CC(=C2Cl)Cl)Cl)Cl)Cl)Cl
p000108,CC1=C2C=C(C(=CC2=CC=C1)C)C
p000109,CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2
p000110,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
p000111,C1C2C(CC1(Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
p000112,C1=CC(=CC=C1C2=C(C=C(C=C2)Cl)Cl)Cl
p000113,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl
p000114,C(Cl)(Br)Br
p000115,CCCCOP(=O)(OCCCC)OCCCC
p000116,C(=C(Cl)Cl)(Cl)Cl
p000117,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
p000118,C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl
p000119,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br
p000120,C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl
p000121,C1=CC=C(C=C1)C2=CC(=CC(=C2)Cl)Cl
p000122,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl
p000123,C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl
p000124,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl
p000125,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl
p000126,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl
p000127,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
p000128,C1=CC=C(C(=C1)C2=C(C=CC(=C2)Cl)Cl)Cl
p000129,C1=CC(=CC(=C1)Cl)C2=CC(=C(C=C2)Cl)Cl
p000130,C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl
p000131,C1=CC(=C(C(=C1Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl
p000132,C1=C2C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
p000133,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C2C(=C(C(=C3Cl)Cl)Cl)Cl
p000134,C1=C2C(=CC(=C1Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl
p000135,C1=C(C2=C(C(=C1Cl)Cl)OC3=C(O2)C(=C(C=C3Cl)Cl)Cl)Cl
p000136,C1=C(C=C(C(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl
